Rep,Method,MSE
South/North_Rep6,AnchorBooster-medium,0.28583264076798115
South/North_Rep6,AnchorBooster-large,0.2890521666286924
South/North_Rep6,LS,0.3159395030809308
South/North_Rep6,AVE,1.2700928439666501
South/North_Rep6,CF-medium,0.9326320427857122
South/North_Rep6,CF-small,0.6234533890008768
South/North_Rep6,CF-large,1.0959181253239019
South/North_Rep6,GroupDRO,0.4949840472413692
South/North_Rep7,BCF,0.3730267027417988
South/North_Rep7,AnchorBooster-small,0.3177516618394797
South/North_Rep7,AnchorBooster-medium,0.31384433319031835
South/North_Rep7,AnchorBooster-large,0.30690996074864657
South/North_Rep7,LS,0.3366026523070416
South/North_Rep7,AVE,1.1989382706984146
South/North_Rep7,CF-medium,0.8491202393797118
South/North_Rep7,CF-small,0.6070071207014908
South/North_Rep7,CF-large,1.0107924983515724
South/North_Rep7,GroupDRO,0.5472202925858798
South/North_Rep8,BCF,0.35703715327267205
South/North_Rep8,AnchorBooster-small,0.294294631292756
South/North_Rep8,AnchorBooster-medium,0.29487689153284363
South/North_Rep8,AnchorBooster-large,0.2954594859878631
South/North_Rep8,LS,0.31996494202205394
South/North_Rep8,AVE,1.2504015383937925
South/North_Rep8,CF-medium,0.8833054349971114
South/North_Rep8,CF-small,0.601029098280759
South/North_Rep8,CF-large,1.0530184743324364
South/North_Rep8,GroupDRO,0.5101025402711642
South/North_Rep9,BCF,0.3776245957375954
South/North_Rep9,AnchorBooster-small,0.3120043241255709
South/North_Rep9,AnchorBooster-medium,0.3109768920048156
South/North_Rep9,AnchorBooster-large,0.31101016760032935
South/North_Rep9,LS,0.33135316165572154
South/North_Rep9,AVE,1.2710168251994332
South/North_Rep9,CF-medium,0.916644609800115
South/North_Rep9,CF-small,0.6125733702852516
South/North_Rep9,CF-large,1.0893401384562265
South/North_Rep9,GroupDRO,0.5711489933259344
South/North_Rep10,BCF,0.36010779552425215
South/North_Rep10,AnchorBooster-small,0.2703597713890754
South/North_Rep10,AnchorBooster-medium,0.2728079830796802
South/North_Rep10,AnchorBooster-large,0.2764539223744048
South/North_Rep10,LS,0.30077891527309647
South/North_Rep10,AVE,1.203231372684173
South/North_Rep10,CF-medium,0.8672435224250791
South/North_Rep10,CF-small,0.5938782779975973
South/North_Rep10,CF-large,1.0560007232704303
South/North_Rep10,GroupDRO,0.48089201428822437
East/West_Rep1,BCF,0.4486255593986398
East/West_Rep1,AnchorBooster-small,0.30929374925635456
East/West_Rep1,AnchorBooster-medium,0.31208713101851077
East/West_Rep1,AnchorBooster-large,0.3135133121648169
East/West_Rep1,LS,0.34283060935128495
East/West_Rep1,AVE,1.3137021527313073
East/West_Rep1,CF-medium,0.984408343727605
East/West_Rep1,CF-small,0.6385006796256003
East/West_Rep1,CF-large,1.1555398286373553
East/West_Rep1,GroupDRO,0.6197370777793857
East/West_Rep2,BCF,0.44882160801445686
East/West_Rep2,AnchorBooster-small,0.3084403680432665
East/West_Rep2,AnchorBooster-medium,0.30994395867679575
East/West_Rep2,AnchorBooster-large,0.32119244857758306
East/West_Rep2,LS,0.337484638361405
East/West_Rep2,AVE,1.2351479241654326
East/West_Rep2,CF-medium,0.9373622230744911
East/West_Rep2,CF-small,0.6054336535075686
East/West_Rep2,CF-large,1.0900615674920737
East/West_Rep2,GroupDRO,0.48970750815645286
East/West_Rep3,BCF,0.4208271299758169
East/West_Rep3,AnchorBooster-small,0.2886449034360286
East/West_Rep3,AnchorBooster-medium,0.2910177636449283
East/West_Rep3,AnchorBooster-large,0.29054558434380756
East/West_Rep3,LS,0.330071277761286
East/West_Rep3,AVE,1.2841424348252375
East/West_Rep3,CF-medium,0.9691594094139593
East/West_Rep3,CF-small,0.6245789560698413
