model,test_mse,int_par,rep_id
IMP,1.1565325096267867,3.0,9
IMP,1.1565325096267867,3.5,9
IMP,1.1565325096267867,3.99,9
Causal,1.986800856891628,0.5,9
Causal,1.986800856891628,1.0,9
Causal,1.986800856891628,1.5,9
Causal,1.9868008568916282,2.0,9
Causal,1.9868008568916282,2.5,9
Causal,1.9868008568916282,3.0,9
Causal,1.9868008568916284,3.5,9
Causal,1.9868008568916284,3.99,9
BCF,1.5938452597021884,0.5,10
BCF,1.6944814974925577,1.0,10
BCF,1.8276311944899757,1.5,10
BCF,1.908577568499553,2.0,10
BCF,2.130050746113926,2.5,10
BCF,2.3321844911589102,3.0,10
BCF,2.656653957268868,3.5,10
BCF,2.7814374273580786,3.99,10
CF,1.9153298136496195,0.5,10
CF,2.09814292085133,1.0,10
CF,2.2507410524247997,1.5,10
CF,2.3844091042773314,2.0,10
CF,2.66013554129197,2.5,10
CF,2.9663650309883507,3.0,10
CF,3.4186807537946566,3.5,10
CF,3.732405730120113,3.99,10
OLS,0.7086324971382383,0.5,10
OLS,0.9064896413235458,1.0,10
OLS,1.0882345702394918,1.5,10
OLS,1.3007802463989668,2.0,10
OLS,1.7145436270697356,2.5,10
OLS,2.345237872129673,3.0,10
OLS,3.1762064398796017,3.5,10
OLS,4.059331945025476,3.99,10
IMP,1.268830664597669,0.5,10
IMP,1.268830664597669,1.0,10
IMP,1.268830664597669,1.5,10
IMP,1.268830664597669,2.0,10
IMP,1.268830664597669,2.5,10
IMP,1.268830664597669,3.0,10
IMP,1.268830664597669,3.5,10
IMP,1.268830664597669,3.99,10
Causal,2.0374226261983486,0.5,10
Causal,2.037422626198348,1.0,10
Causal,2.037422626198348,1.5,10
Causal,2.037422626198348,2.0,10
Causal,2.0374226261983486,2.5,10
Causal,2.0374226261983486,3.0,10
Causal,2.037422626198348,3.5,10
Causal,2.037422626198348,3.99,10
BCF,1.0856501894589754,0.5,11
BCF,1.1205619931841129,1.0,11
BCF,1.1215963482288303,1.5,11
BCF,1.1010834024204788,2.0,11
BCF,1.075405498794832,2.5,11
BCF,1.0729355124422648,3.0,11
BCF,1.1133501106822261,3.5,11
BCF,1.1613001029407068,3.99,11
