Rep,Method,MSE,MSE_standard_error
rest/SE_Rep9,LS,0.2657074853407294,0.01602689708653511
rest/SE_Rep9,OLS,0.575329079371163,0.038986893591426035
rest/SE_Rep9,AVE,1.349525964842296,0.0460403407655957
SW/rest_Rep6,BCF,0.3278238713016051,0.1750663573660391
SW/rest_Rep6,BCF-lin,0.2833953579451673,0.09241410411669994
SW/rest_Rep6,LS,0.4937618223410674,0.26394002395376304
SW/rest_Rep6,OLS,0.2217151299512818,0.08522872031311796
SW/rest_Rep6,AVE,0.7089584689754557,0.29157155372745086
SW/rest_Rep4,BCF,0.8437185840121039,0.3250990059432726
SW/rest_Rep4,BCF-lin,0.2602398414004132,0.07949662949649913
SW/rest_Rep4,LS,0.7977575351883512,0.3660967664322399
SW/rest_Rep4,OLS,0.3216768223960698,0.08887839044784526
SW/rest_Rep4,AVE,1.502801095144583,0.46956134851404996
SW/rest_Rep1,BCF,0.3543139331981811,0.1115127406463671
SW/rest_Rep1,BCF-lin,0.1921051174688295,0.05289844403888604
SW/rest_Rep1,LS,0.4903344474900404,0.31781104791448117
SW/rest_Rep1,OLS,0.17905848122110163,0.05614204971194438
SW/rest_Rep1,AVE,0.7585174418783491,0.2730904074458265
SW/rest_Rep5,BCF,0.7872990461854473,0.3710704519008831
SW/rest_Rep5,BCF-lin,0.43715319046033785,0.17326044746592953
SW/rest_Rep5,LS,0.3821097804039718,0.14081565574908
SW/rest_Rep5,OLS,0.22120850635020145,0.06758830064928138
SW/rest_Rep5,AVE,0.5484668143864745,0.20798006724290252
SW/rest_Rep8,BCF,0.8494255805481562,0.3281831438864677
SW/rest_Rep8,BCF-lin,0.49474426854607306,0.2194868853724839
SW/rest_Rep8,LS,1.066902524008848,0.4110561086823513
SW/rest_Rep8,OLS,0.3950477594999027,0.1528118952153541
SW/rest_Rep8,AVE,0.706984592912832,0.24983678440721074
SW/rest_Rep7,BCF,0.6122605351514715,0.32379149183002953
SW/rest_Rep7,BCF-lin,0.19125232696484884,0.05839927249134653
SW/rest_Rep7,LS,0.36546202238322867,0.25128096462837574
SW/rest_Rep7,OLS,0.22430122127445554,0.07997015747240908
SW/rest_Rep7,AVE,0.7841626123146189,0.37655243429191304
SW/rest_Rep2,BCF,0.25135804970582437,0.07108917703033442
SW/rest_Rep2,BCF-lin,0.31514045049480693,0.09468222637317743
SW/rest_Rep2,LS,0.1624510559110527,0.0559618247119596
SW/rest_Rep2,OLS,0.12085390804402872,0.02653299643797612
SW/rest_Rep2,AVE,0.5382533751938468,0.17744816147088496
SW/rest_Rep3,BCF,0.6680574687503941,0.37600341592078057
SW/rest_Rep3,BCF-lin,0.4355214607048936,0.26511250770511535
SW/rest_Rep3,LS,0.49248654099945904,0.32289160891452956
SW/rest_Rep3,OLS,0.3519211969141793,0.2464815815501196
SW/rest_Rep3,AVE,1.0243873473032237,0.39031509800126163
SW/rest_Rep10,BCF,0.31721162218524873,0.18011031888430065
SW/rest_Rep10,BCF-lin,0.2966669495867773,0.158157536143738
SW/rest_Rep10,LS,0.24660309224289798,0.11139370116656157
SW/rest_Rep10,OLS,0.12009070549236164,0.0388275735201513
SW/rest_Rep10,AVE,0.28681050690133764,0.0580401866468275
SW/rest_Rep9,BCF,0.8969115882490203,0.3837555740921023
SW/rest_Rep9,BCF-lin,0.712224320271061,0.3125091471053062
SW/rest_Rep9,LS,0.8721750996177076,0.47836588926419565
SW/rest_Rep9,OLS,0.6549136610563425,0.3263640788196723
SW/rest_Rep9,AVE,0.8057779912945041,0.34355269897421287
rest/SW_Rep1,BCF,0.4258743006378756,0.014902527264791259
rest/SW_Rep1,BCF-lin,0.4986641351613857,0.021881890218705027
rest/SW_Rep1,LS,0.33618389363358553,0.013397862843182859
rest/SW_Rep1,OLS,0.58727537496351,0.02069679903873164
rest/SW_Rep1,AVE,1.3138562644292404,0.0315513192274457
rest/SW_Rep8,BCF,0.43765374738969365,0.015595961514655865
rest/SW_Rep8,BCF-lin,1.034435799446616,0.45241706603889204
rest/SW_Rep8,LS,0.3310141088669437,0.013530721618391622
rest/SW_Rep8,OLS,1.531940142945793,0.6576046539188607
rest/SW_Rep8,AVE,1.3453275958550195,0.031566014664457624
rest/SW_Rep3,BCF,0.42777825380243834,0.015259590815752453
rest/SW_Rep3,BCF-lin,0.5713515462170092,0.038468088557924725
rest/SW_Rep3,LS,0.3423307467020564,0.013806463465183407
rest/SW_Rep3,OLS,0.6001683088296677,0.024736785835287087
rest/SW_Rep3,AVE,1.2904700305333736,0.030343591265201832
rest/SW_Rep5,BCF,0.42741946283581345,0.014431018527077032
rest/SW_Rep5,BCF-lin,0.7374139025194032,0.1449399076810641
rest/SW_Rep5,LS,0.32674321085755725,0.012762589572795252
rest/SW_Rep5,OLS,0.6037080642036077,0.022730658947870637
rest/SW_Rep5,AVE,1.331638943640548,0.03174910323488893
rest/SW_Rep4,BCF,0.4391478075700236,0.014823576397346142
rest/SW_Rep4,BCF-lin,0.6558482531928498,0.14267452997313523
rest/SW_Rep4,LS,0.3402629045903606,0.01309322467784267
rest/SW_Rep4,OLS,0.6162314660210226,0.027146153887829472
rest/SW_Rep4,AVE,1.3280203752238169,0.03133720409472784
rest/SW_Rep2,BCF,0.4637837115180163,0.015922364249620905
rest/SW_Rep2,BCF-lin,0.6077630934966841,0.05470691946665683
rest/SW_Rep2,LS,0.3615018669354183,0.014535328083236355
rest/SW_Rep2,OLS,0.6216367964309568,0.02148818273151675
rest/SW_Rep2,AVE,1.3215001173101104,0.03159631724293501
rest/SW_Rep7,BCF,0.4209956860707415,0.013640087137153105
rest/SW_Rep7,BCF-lin,0.5255263862072186,0.024005940625034205
rest/SW_Rep7,LS,0.3279859492438445,0.012422053590169565
rest/SW_Rep7,OLS,0.6230354260176211,0.026431004674478748
rest/SW_Rep7,AVE,1.343460991517085,0.03170606953300264
rest/SW_Rep6,BCF,0.4516424860350522,0.015005479453170146
rest/SW_Rep6,BCF-lin,0.9264014927789561,0.32275231045455155
rest/SW_Rep6,LS,0.35154281155289124,0.013558013025495107
rest/SW_Rep6,OLS,0.6440975197273129,0.04297593646371667
rest/SW_Rep6,AVE,1.3174106906702883,0.031097777728961457
rest/SW_Rep10,BCF,0.4409481230523177,0.015403112558500902
rest/SW_Rep10,BCF-lin,0.5356933038470412,0.026907815932284612
rest/SW_Rep10,LS,0.33801196533019673,0.013163949709658672
rest/SW_Rep10,OLS,0.6312243903819482,0.02394252383063405
rest/SW_Rep10,AVE,1.346384881677879,0.031855812268170136
rest/SW_Rep9,BCF,0.4436308276095316,0.015854277163604946
rest/SW_Rep9,BCF-lin,0.9316336461222906,0.3559788202746028
rest/SW_Rep9,LS,0.3401259325899902,0.014115590196999891
rest/SW_Rep9,OLS,0.6371571759357912,0.039305874667754086
rest/SW_Rep9,AVE,1.2901495086807349,0.031145788022097633
NE/rest_Rep7,BCF,0.059374776363558854,0.011993608805453106
NE/rest_Rep7,BCF-lin,0.06740276453140573,0.012707346284402716
NE/rest_Rep7,LS,0.05732193535318524,0.011522245348086758
NE/rest_Rep7,OLS,0.058363101836150934,0.009965619625883774
NE/rest_Rep7,AVE,0.17419164574806426,0.03459899675979446
NE/rest_Rep4,BCF,0.06351192263186406,0.014162300543573198
NE/rest_Rep4,BCF-lin,0.05790270984444859,0.013185792283144383
NE/rest_Rep4,LS,0.05794490967737991,0.012116398118297452
NE/rest_Rep4,OLS,0.05150417451641012,0.010857609260203658
NE/rest_Rep4,AVE,0.1632763837562798,0.02600792158022997
NE/rest_Rep2,BCF,0.05059700801105122,0.007447054247469032
NE/rest_Rep2,BCF-lin,0.055334656531719074,0.007181286176240706
NE/rest_Rep2,LS,0.050946497463811996,0.008807940628201448
NE/rest_Rep2,OLS,0.047709549668681274,0.006895995914697446
NE/rest_Rep2,AVE,0.12623421719691502,0.015829477669313356
NE/rest_Rep6,BCF,0.04479588764468502,0.005780436164255981
NE/rest_Rep6,BCF-lin,0.040697066127987104,0.005028477829908171
NE/rest_Rep6,LS,0.038996463090624496,0.004754423936768756
NE/rest_Rep6,OLS,0.035969542204502956,0.004045913386740339
NE/rest_Rep6,AVE,0.10517131316242687,0.013124165794417914
NE/rest_Rep8,BCF,0.07560853658172323,0.013627099903507434
NE/rest_Rep8,BCF-lin,0.07463808529571501,0.014483200202340835
NE/rest_Rep8,LS,0.06170997166571915,0.012388023810990524
NE/rest_Rep8,OLS,0.05874761787564986,0.012020121973880063
NE/rest_Rep8,AVE,0.16749421393192568,0.023805550204331432
NE/rest_Rep5,BCF,0.050362624571523656,0.009248419680183338
NE/rest_Rep5,BCF-lin,0.046212624939225684,0.007264592515002038
NE/rest_Rep5,LS,0.043313496827018294,0.006978506154599091
NE/rest_Rep5,OLS,0.045769195067102066,0.006971838390302042
NE/rest_Rep5,AVE,0.11278155711879517,0.01689898900647257
